apm_code,nombre,estado,lifecycle_status,clase_aplicacion,tipo_de_aplicacion,icr_relevant,data_protection_relevant
AP01711.08,SAP EDESUR DSA,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP01711.07,SAP EDESUR MM Log,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP01711.02,SAP EDESUR MM Procurement,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP01711.04,SAP EDESUR proceso modulo TR,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,false
AP01711.05,SAP EDESUR PSPM,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP01711.01,SAP EDESUR/FICO,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP02091,SAP EGP Italia (ERP),Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.03,SAP ESP 600 AA,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.05,SAP ESP 600 CO,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.01,SAP ESP 600 FI,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.08,SAP ESP 600 MM Enel Energie,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.07,SAP ESP 600 MM Enel Servicii Comune,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.13,SAP ESP 600 SD Enel Energie,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.12,SAP ESP 600 SD Enel Servicii Comune,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.17,SAP ESP 600 Technical Roles,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751,SAP ESP 600/610 Romania,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,true
AP14751.04,SAP ESP 610 AA,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.06,SAP ESP 610 CO,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.02,SAP ESP 610 FI,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.09,SAP ESP 610 MM Enel Energie Muntenia,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.10,SAP ESP 610 MM Enel Romania,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.20,SAP ESP 610 MM Enel X Mobility Romania,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.19,SAP ESP 610 MM Enel X Romania,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.14,SAP ESP 610 SD Enel Energie Muntenia,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.15,SAP ESP 610 SD Enel Romania,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.22,SAP ESP 610 SD Enel X Mobility Romania,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
